"category";"equip_name";"cost";"serial_number";"under_warrenty";"functionality";"status";"state";"district";"facility";"department";"manufacturer";"model";"price";"installation_date";"return_date";"borrow_date";"cluster"
"Laboratory";"Automatic Tissue Processor";900000000;"XK58eyC";"false";"Active/in use";"Unavailable";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Yorco";"YSI-103.";645750;"22/12/21";"25/10/2023";"20/10/2023";3
"Laboratory";"Automatic Tissue Processor";900000000;"YD42ctW";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Yorco";"YSI-103.";0;"7/9/06";"25/10/2023";"20/10/2023";3
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"HK09nyG";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"21/10/2023";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"OQ84ocC";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"14/08/2023";"13/08/2023";2
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"RN69agR";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"YF79zyC";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"GL70dpX";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";2
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"QT57kuX";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"DV83usC";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"FQ55imV";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"RC44oiT";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";1
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"UW17soP";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";2
"Diagnostic/Monitoring";"Bed Side Monitor";65000000;"OF12hlR";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"iCU";"Philips";"MP-40";818154;"1/9/21";"";"";2
"Laboratory";"Binocular Microscope";30000000;"SP50yhI";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Unilab";"GE-52";0;"29/7/22";"";"";2
"Laboratory";"Binocular Microscope";30000000;"ZO66ssL";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Olympus";"CH-20-i";47500;"25/5/19";"";"";1
"Laboratory";"Binocular Microscope";30000000;"EL56qpR";"Yes";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Olympus";"CH-20-i";47500;"25/5/19";"";"";2
"Laboratory";"Binocular Microscope";30000000;"AZ53jvY";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Olympus";"CH-20-i";47500;"25/5/19";"";"";1
"Laboratory";"Binocular Microscope";30000000;"JF13gsY";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";" Unilab";"RH-850xl";28080;"25/5/19";"";"";2
"Respiratory";"Bi-Pap Non-Invasive Ventillator";60000000;"YR38uxD";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";" Resmed USA";"S9VPAPST";294000;"27/5/22";"";"";1
"Respiratory";"Bi-Pap Non-Invasive Ventillator";60000000;"BD62fqQ";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";" Resmed USA";"S9VPAPST";294000;"27/5/22";"";"";1
"Laboratory";"Boyles Apparatus";150000000;"LP63zmS";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Drager Medical";"Pedius-C";774696;"12/9/13";"";"";2
"Laboratory";"Boyles Apparatus";150000000;"PS34jtO";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"Datex Ohmeda";"MK-III";93721;"12/9/00";"";"";0
"Diagnostic/Monitoring";"BP Machine";1000000;"WY45izX";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OPD";" Elico";"BP Instrument";1125;"23/8/18";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"PY92izY";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OPD";" Elico";"BP Instrument";1125;"23/8/18";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"FJ98gcM";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OPD";" Elico";"BP Instrument";1125;"23/8/18";"";"";1
"Diagnostic/Monitoring";"BP Machine";1000000;"BF69tjS";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OPD";" Elico";"BP Instrument";1125;"23/8/18";"";"";2
"Diagnostic/Monitoring";"Central Monitoring System";200000000;"IM19bxO";"Yes";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-ICU";"Philips";"MP 140";0;"27/6/22";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"MF91jnD";"No";"Not in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Remi Elektrotechnik Limited";"C8541";6750;"9/9/14";"";"";2
"Laboratory";"Centrifuse Machine";6500000;"LS99yuO";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Remi Elektrotechnik Limited";"R8C";24518;"15/1/21";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"GA70akP";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Remi Elektrotechnik Limited";"R8C";24518;"15/1/21";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"HK02xmV";"No";"Active/in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Remi Elektrotechnik Limited";"R8C";24518;"15/1/21";"";"";1
"Laboratory";"Centrifuse Machine";6500000;"OX31qpS";"No";"Active/in use";"Not Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-Pathology";"Remi Elektrotechnik Limited";"R8C";24518;"15/1/21";"";"";2
"Diagnostic/Monitoring";"Defibrillator";200000000;"JP39etK";"No";"Not in use";"Available";"Odisha";"Cuttack";"AHRCC(Cuttack)";"AHRCC-OT3";"ELECTROCARE SYSTEM";"DM 230";103896;"10/9/13";"";"";1
